1083 8358
347 555 -49
1053 515 48
668 271 -43
936 637 20
217 647 -22
19 266 -35
98 704 -36
32 370 -27
385 887 42
478 734 7
338 612 -3
580 491 -20
320 202 -22
295 1006 1
514 797 -42
136 176 11
179 727 41
525 359 -38
1079 831 37
804 267 23
1066 647 -23
1023 1001 38
518 585 38
463 889 -12
371 507 -47
546 453 25
555 634 -24
667 548 5
491 283 -38
435 553 44
444 632 36
747 417 -37
475 111 -46
439 383 -17
339 510 -48
1046 505 -19
761 65 -20
564 117 47
503 171 37
424 553 -20
250 751 -4
292 981 33
760 325 -13
323 521 34
686 982 -37
330 585 -37
446 383 -50
98 642 37
811 1014 -16
271 672 2
442 629 -39
53 98 47
620 687 -47
576 614 29
642 328 -23
582 252 -16
169 233 -19
891 654 38
654 724 16
626 771 13
284 11 27
947 192 28
1032 490 4
951 415 -9
480 918 -16
927 761 18
837 402 -29
242 537 -33
735 916 42
364 407 14
394 1039 -1
696 380 13
95 916 -16
62 228 -35
288 609 -3
473 334 3
579 583 -9
951 771 43
1003 888 7
867 219 43
599 201 -5
353 1 4
681 9 42
580 53 44
533 908 45
533 976 -21
26 568 39
274 551 44
780 1075 -28
447 561 22
75 781 42
488 774 -26
242 491 3
820 78 42
183 1040 -36
1005 206 -4
172 401 44
721 332 -4
217 1063 33
376 668 -47
804 699 -43
765 191 40
689 543 27
573 1041 -26
359 122 -29
538 199 -14
149 109 -8
99 408 -25
947 380 -19
386 870 37
351 841 2
612 1004 36
489 573 -23
212 330 -15
116 730 -6
206 590 2
1079 405 46
816 165 -43
749 252 26
917 811 -32
13 259 -14
737 800 -27
432 732 25
570 162 5
383 656 -29
865 536 -45
212 872 -22
658 753 -40
639 820 -46
1028 608 24
567 527 -48
158 111 36
615 457 19
842 1020 -37
380 60 -32
275 876 -38
737 33 -24
147 998 -6
430 382 12
168 372 18
866 374 33
20 178 -4
707 250 41
384 130 13
502 186 -35
1012 1077 40
795 278 49
376 716 -19
716 26 -20
981 871 -37
772 901 -33
246 1050 -3
363 477 -2
717 824 49
667 542 18
814 329 -26
634 55 -13
206 1036 16
421 445 -2
737 503 -37
505 481 17
956 493 -26
118 165 47
76 448 -48
704 420 13
943 0 -8
101 933 -25
59 375 -5
443 944 15
869 469 -32
630 271 34
434 116 29
258 572 26
293 726 -13
106 210 -26
709 846 22
905 534 -34
85 942 -1
530 23 46
689 393 14
